,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM02,Razor Wind,80,74.6,10,0,Aerodactyl
1,TM04,Whirlwind,Status,85,20,0,Aerodactyl
2,TM06,Toxic,Status,85,10,0,Aerodactyl
3,TM09,Take Down,90,85,20,0,Aerodactyl
4,TM10,Double-Edge,100,100,15,0,Aerodactyl
5,TM15,Hyper Beam,150,90,5,0,Aerodactyl
6,TM20,Rage,20,100,20,0,Aerodactyl
7,TM23,Dragon Rage,Fixed,100,10,0,Aerodactyl
8,TM31,Mimic,Status,100,10,0,Aerodactyl
9,TM32,Double Team,Status,100,15,0,Aerodactyl
10,TM33,Reflect,Status,100,20,0,Aerodactyl
11,TM34,Bide,Status,100,10,0,Aerodactyl
12,TM38,Fire Blast,120,85,5,33,Aerodactyl
13,TM39,Swift,60,100,20,0,Aerodactyl
14,TM43,Sky Attack,140,90,5,0,Aerodactyl
15,TM44,Rest,Status,100,10,0,Aerodactyl
16,TM50,Substitute,Status,100,10,0,Aerodactyl
17,HM02,Fly,70,95,15,0,Aerodactyl
