,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM08,Body Slam,85,100,15,33
2,TM09,Take Down,90,85,20,0
3,TM10,Double-Edge,100,100,15,0
4,TM11,Bubble Beam,65,100,20,33
5,TM12,Water Gun,40,100,25,0
6,TM13,Ice Beam,95,100,10,10
7,TM14,Blizzard,120,90,5,10
8,TM20,Rage,20,100,20,0
9,TM23,Dragon Rage,Fixed,100,10,0
10,TM24,Thunderbolt,95,100,15,10
11,TM25,Thunder,120,70,10,10
12,TM31,Mimic,Status,100,10,0
13,TM32,Double Team,Status,100,15,0
14,TM33,Reflect,Status,100,20,0
15,TM34,Bide,Status,100,10,0
16,TM38,Fire Blast,120,85,5,33
17,TM39,Swift,60,100,20,0
18,TM40,Skull Bash,100,100,15,0
19,TM44,Rest,Status,100,10,0
20,TM45,Thunder Wave,Status,100,20,10
21,TM50,Substitute,Status,100,10,0
22,HM03,Surf,95,100,15,0
