,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Electabuzz
1,TM05,Mega Kick,120,74.6,5,0,Electabuzz
2,TM06,Toxic,Status,85,10,0,Electabuzz
3,TM08,Body Slam,85,100,15,33,Electabuzz
4,TM09,Take Down,90,85,20,0,Electabuzz
5,TM10,Double-Edge,100,100,15,0,Electabuzz
6,TM15,Hyper Beam,150,90,5,0,Electabuzz
7,TM17,Submission,80,80,25,0,Electabuzz
8,TM18,Counter,Fixed,100,20,0,Electabuzz
9,TM19,Seismic Toss,Fixed,100,20,0,Electabuzz
10,TM20,Rage,20,100,20,0,Electabuzz
11,TM24,Thunderbolt,95,100,15,10,Electabuzz
12,TM25,Thunder,120,70,10,10,Electabuzz
13,TM29,Psychic,90,100,10,30,Electabuzz
14,TM30,Teleport,Status,100,20,0,Electabuzz
15,TM31,Mimic,Status,100,10,0,Electabuzz
16,TM32,Double Team,Status,100,15,0,Electabuzz
17,TM33,Reflect,Status,100,20,0,Electabuzz
18,TM34,Bide,Status,100,10,0,Electabuzz
19,TM35,Metronome,Status,100,10,0,Electabuzz
20,TM39,Swift,60,100,20,0,Electabuzz
21,TM40,Skull Bash,100,100,15,0,Electabuzz
22,TM44,Rest,Status,100,10,0,Electabuzz
23,TM45,Thunder Wave,Status,100,20,10,Electabuzz
24,TM46,Psywave,Fixed,80,15,0,Electabuzz
25,TM50,Substitute,Status,100,10,0,Electabuzz
26,HM04,Strength,80,100,15,0,Electabuzz
27,HM05,Flash,Status,70,20,0,Electabuzz
