,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM09,Take Down,90,85,20,0
2,TM10,Double-Edge,100,100,15,0
3,TM20,Rage,20,100,20,0
4,TM29,Psychic,90,100,10,30
5,TM30,Teleport,Status,100,20,0
6,TM31,Mimic,Status,100,10,0
7,TM32,Double Team,Status,100,15,0
8,TM33,Reflect,Status,100,20,0
9,TM34,Bide,Status,100,10,0
10,TM36,Self-Destruct,130,100,5,0
11,TM37,Egg Bomb,100,75,10,0
12,TM44,Rest,Status,100,10,0
13,TM46,Psywave,Fixed,80,15,0
14,TM47,Explosion,170,100,5,0
15,TM50,Substitute,Status,100,10,0
