,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Hitmonlee
1,TM05,Mega Kick,120,74.6,5,0,Hitmonlee
2,TM06,Toxic,Status,85,10,0,Hitmonlee
3,TM08,Body Slam,85,100,15,33,Hitmonlee
4,TM09,Take Down,90,85,20,0,Hitmonlee
5,TM10,Double-Edge,100,100,15,0,Hitmonlee
6,TM17,Submission,80,80,25,0,Hitmonlee
7,TM18,Counter,Fixed,100,20,0,Hitmonlee
8,TM19,Seismic Toss,Fixed,100,20,0,Hitmonlee
9,TM20,Rage,20,100,20,0,Hitmonlee
10,TM31,Mimic,Status,100,10,0,Hitmonlee
11,TM32,Double Team,Status,100,15,0,Hitmonlee
12,TM34,Bide,Status,100,10,0,Hitmonlee
13,TM35,Metronome,Status,100,10,0,Hitmonlee
14,TM39,Swift,60,100,20,0,Hitmonlee
15,TM40,Skull Bash,100,100,15,0,Hitmonlee
16,TM44,Rest,Status,100,10,0,Hitmonlee
17,TM50,Substitute,Status,100,10,0,Hitmonlee
18,HM04,Strength,80,100,15,0,Hitmonlee
