,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM08,Body Slam,85,100,15,33
2,TM09,Take Down,90,85,20,0
3,TM10,Double-Edge,100,100,15,0
4,TM15,Hyper Beam,150,90,5,0
5,TM20,Rage,20,100,20,0
6,TM24,Thunderbolt,95,100,15,10
7,TM25,Thunder,120,70,10,10
8,TM31,Mimic,Status,100,10,0
9,TM32,Double Team,Status,100,15,0
10,TM33,Reflect,Status,100,20,0
11,TM34,Bide,Status,100,10,0
12,TM39,Swift,60,100,20,0
13,TM40,Skull Bash,100,100,15,0
14,TM44,Rest,Status,100,10,0
15,TM45,Thunder Wave,Status,100,20,10
16,TM50,Substitute,Status,100,10,0
17,HM05,Flash,Status,70,20,0
