,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Kangaskhan
1,TM05,Mega Kick,120,74.6,5,0,Kangaskhan
2,TM06,Toxic,Status,85,10,0,Kangaskhan
3,TM08,Body Slam,85,100,15,33,Kangaskhan
4,TM09,Take Down,90,85,20,0,Kangaskhan
5,TM10,Double-Edge,100,100,15,0,Kangaskhan
6,TM11,Bubble Beam,65,100,20,33,Kangaskhan
7,TM12,Water Gun,40,100,25,0,Kangaskhan
8,TM13,Ice Beam,95,100,10,10,Kangaskhan
9,TM14,Blizzard,120,90,5,10,Kangaskhan
10,TM15,Hyper Beam,150,90,5,0,Kangaskhan
11,TM17,Submission,80,80,25,0,Kangaskhan
12,TM18,Counter,Fixed,100,20,0,Kangaskhan
13,TM19,Seismic Toss,Fixed,100,20,0,Kangaskhan
14,TM20,Rage,20,100,20,0,Kangaskhan
15,TM24,Thunderbolt,95,100,15,10,Kangaskhan
16,TM25,Thunder,120,70,10,10,Kangaskhan
17,TM26,Earthquake,100,100,10,0,Kangaskhan
18,TM27,Fissure,Fixed,30,5,0,Kangaskhan
19,TM31,Mimic,Status,100,10,0,Kangaskhan
20,TM32,Double Team,Status,100,15,0,Kangaskhan
21,TM34,Bide,Status,100,10,0,Kangaskhan
22,TM38,Fire Blast,120,85,5,33,Kangaskhan
23,TM40,Skull Bash,100,100,15,0,Kangaskhan
24,TM44,Rest,Status,100,10,0,Kangaskhan
25,TM48,Rock Slide,75,90,10,0,Kangaskhan
26,TM50,Substitute,Status,100,10,0,Kangaskhan
27,HM03,Surf,95,100,15,0,Kangaskhan
28,HM04,Strength,80,100,15,0,Kangaskhan
