,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM06,Toxic,Status,85,10,0,Lapras
1,TM07,Horn Drill,Fixed,30,5,0,Lapras
2,TM08,Body Slam,85,100,15,33,Lapras
3,TM09,Take Down,90,85,20,0,Lapras
4,TM10,Double-Edge,100,100,15,0,Lapras
5,TM11,Bubble Beam,65,100,20,33,Lapras
6,TM12,Water Gun,40,100,25,0,Lapras
7,TM13,Ice Beam,95,100,10,10,Lapras
8,TM14,Blizzard,120,90,5,10,Lapras
9,TM15,Hyper Beam,150,90,5,0,Lapras
10,TM20,Rage,20,100,20,0,Lapras
11,TM22,Solar Beam,120,100,10,0,Lapras
12,TM23,Dragon Rage,Fixed,100,10,0,Lapras
13,TM24,Thunderbolt,95,100,15,10,Lapras
14,TM25,Thunder,120,70,10,10,Lapras
15,TM29,Psychic,90,100,10,30,Lapras
16,TM31,Mimic,Status,100,10,0,Lapras
17,TM32,Double Team,Status,100,15,0,Lapras
18,TM33,Reflect,Status,100,20,0,Lapras
19,TM34,Bide,Status,100,10,0,Lapras
20,TM40,Skull Bash,100,100,15,0,Lapras
21,TM44,Rest,Status,100,10,0,Lapras
22,TM46,Psywave,Fixed,80,15,0,Lapras
23,TM50,Substitute,Status,100,10,0,Lapras
24,HM03,Surf,95,100,15,0,Lapras
25,HM04,Strength,80,100,15,0,Lapras
