,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Magmar
1,TM05,Mega Kick,120,74.6,5,0,Magmar
2,TM06,Toxic,Status,85,10,0,Magmar
3,TM08,Body Slam,85,100,15,33,Magmar
4,TM09,Take Down,90,85,20,0,Magmar
5,TM10,Double-Edge,100,100,15,0,Magmar
6,TM15,Hyper Beam,150,90,5,0,Magmar
7,TM17,Submission,80,80,25,0,Magmar
8,TM18,Counter,Fixed,100,20,0,Magmar
9,TM19,Seismic Toss,Fixed,100,20,0,Magmar
10,TM20,Rage,20,100,20,0,Magmar
11,TM29,Psychic,90,100,10,30,Magmar
12,TM30,Teleport,Status,100,20,0,Magmar
13,TM31,Mimic,Status,100,10,0,Magmar
14,TM32,Double Team,Status,100,15,0,Magmar
15,TM34,Bide,Status,100,10,0,Magmar
16,TM35,Metronome,Status,100,10,0,Magmar
17,TM38,Fire Blast,120,85,5,33,Magmar
18,TM40,Skull Bash,100,100,15,0,Magmar
19,TM44,Rest,Status,100,10,0,Magmar
20,TM46,Psywave,Fixed,80,15,0,Magmar
21,TM50,Substitute,Status,100,10,0,Magmar
22,HM04,Strength,80,100,15,0,Magmar
