,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Mewtwo
1,TM05,Mega Kick,120,74.6,5,0,Mewtwo
2,TM06,Toxic,Status,85,10,0,Mewtwo
3,TM08,Body Slam,85,100,15,33,Mewtwo
4,TM09,Take Down,90,85,20,0,Mewtwo
5,TM10,Double-Edge,100,100,15,0,Mewtwo
6,TM11,Bubble Beam,65,100,20,33,Mewtwo
7,TM12,Water Gun,40,100,25,0,Mewtwo
8,TM13,Ice Beam,95,100,10,10,Mewtwo
9,TM14,Blizzard,120,90,5,10,Mewtwo
10,TM15,Hyper Beam,150,90,5,0,Mewtwo
11,TM16RGB Only,Pay Day,40,100,20,0,Mewtwo
12,TM17,Submission,80,80,25,0,Mewtwo
13,TM18,Counter,Fixed,100,20,0,Mewtwo
14,TM19,Seismic Toss,Fixed,100,20,0,Mewtwo
15,TM20,Rage,20,100,20,0,Mewtwo
16,TM22,Solar Beam,120,100,10,0,Mewtwo
17,TM24,Thunderbolt,95,100,15,10,Mewtwo
18,TM25,Thunder,120,70,10,10,Mewtwo
19,TM29,Psychic,90,100,10,30,Mewtwo
20,TM30,Teleport,Status,100,20,0,Mewtwo
21,TM31,Mimic,Status,100,10,0,Mewtwo
22,TM32,Double Team,Status,100,15,0,Mewtwo
23,TM33,Reflect,Status,100,20,0,Mewtwo
24,TM34,Bide,Status,100,10,0,Mewtwo
25,TM35,Metronome,Status,100,10,0,Mewtwo
26,TM36,Self-Destruct,130,100,5,0,Mewtwo
27,TM38,Fire Blast,120,85,5,33,Mewtwo
28,TM40,Skull Bash,100,100,15,0,Mewtwo
29,TM44,Rest,Status,100,10,0,Mewtwo
30,TM45,Thunder Wave,Status,100,20,10,Mewtwo
31,TM46,Psywave,Fixed,80,15,0,Mewtwo
32,TM49,Tri Attack,80,100,10,0,Mewtwo
33,TM50,Substitute,Status,100,10,0,Mewtwo
34,HM04,Strength,80,100,15,0,Mewtwo
35,HM05,Flash,Status,70,20,0,Mewtwo
