,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM02,Razor Wind,80,74.6,10,0,Moltres
1,TM04,Whirlwind,Status,85,20,0,Moltres
2,TM06,Toxic,Status,85,10,0,Moltres
3,TM09,Take Down,90,85,20,0,Moltres
4,TM10,Double-Edge,100,100,15,0,Moltres
5,TM15,Hyper Beam,150,90,5,0,Moltres
6,TM20,Rage,20,100,20,0,Moltres
7,TM31,Mimic,Status,100,10,0,Moltres
8,TM32,Double Team,Status,100,15,0,Moltres
9,TM33,Reflect,Status,100,20,0,Moltres
10,TM34,Bide,Status,100,10,0,Moltres
11,TM38,Fire Blast,120,85,5,33,Moltres
12,TM39,Swift,60,100,20,0,Moltres
13,TM43,Sky Attack,140,90,5,0,Moltres
14,TM44,Rest,Status,100,10,0,Moltres
15,TM50,Substitute,Status,100,10,0,Moltres
16,HM02,Fly,70,95,15,0,Moltres
