,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM06,Toxic,Status,85,10,0,Onix
1,TM08,Body Slam,85,100,15,33,Onix
2,TM09,Take Down,90,85,20,0,Onix
3,TM10,Double-Edge,100,100,15,0,Onix
4,TM20,Rage,20,100,20,0,Onix
5,TM26,Earthquake,100,100,10,0,Onix
6,TM27,Fissure,Fixed,30,5,0,Onix
7,TM28,Dig,100,100,10,0,Onix
8,TM31,Mimic,Status,100,10,0,Onix
9,TM32,Double Team,Status,100,15,0,Onix
10,TM34,Bide,Status,100,10,0,Onix
11,TM36,Self-Destruct,130,100,5,0,Onix
12,TM44,Rest,Status,100,10,0,Onix
13,TM47,Explosion,170,100,5,0,Onix
14,TM48,Rock Slide,75,90,10,0,Onix
15,TM50,Substitute,Status,100,10,0,Onix
16,HM04,Strength,80,100,15,0,Onix
