,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM08,Body Slam,85,100,15,33
2,TM09,Take Down,90,85,20,0
3,TM10,Double-Edge,100,100,15,0
4,TM11,Bubble Beam,65,100,20,33
5,TM12,Water Gun,40,100,25,0
6,TM15,Hyper Beam,150,90,5,0
7,TM16,Pay Day,40,100,20,0
8,TM20,Rage,20,100,20,0
9,TM24,Thunderbolt,95,100,15,10
10,TM25,Thunder,120,70,10,10
11,TM31,Mimic,Status,100,10,0
12,TM32,Double Team,Status,100,15,0
13,TM34,Bide,Status,100,10,0
14,TM39,Swift,60,100,20,0
15,TM40,Skull Bash,100,100,15,0
16,TM44,Rest,Status,100,10,0
17,TM50,Substitute,Status,100,10,0
