,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM06,Toxic,Status,85,10,0,Porygon
1,TM09,Take Down,90,85,20,0,Porygon
2,TM10,Double-Edge,100,100,15,0,Porygon
3,TM13,Ice Beam,95,100,10,10,Porygon
4,TM14,Blizzard,120,90,5,10,Porygon
5,TM15,Hyper Beam,150,90,5,0,Porygon
6,TM20,Rage,20,100,20,0,Porygon
7,TM24,Thunderbolt,95,100,15,10,Porygon
8,TM25,Thunder,120,70,10,10,Porygon
9,TM29,Psychic,90,100,10,30,Porygon
10,TM30,Teleport,Status,100,20,0,Porygon
11,TM31,Mimic,Status,100,10,0,Porygon
12,TM32,Double Team,Status,100,15,0,Porygon
13,TM33,Reflect,Status,100,20,0,Porygon
14,TM34,Bide,Status,100,10,0,Porygon
15,TM39,Swift,60,100,20,0,Porygon
16,TM40,Skull Bash,100,100,15,0,Porygon
17,TM44,Rest,Status,100,10,0,Porygon
18,TM45,Thunder Wave,Status,100,20,10,Porygon
19,TM46,Psywave,Fixed,80,15,0,Porygon
20,TM49,Tri Attack,80,100,10,0,Porygon
21,TM50,Substitute,Status,100,10,0,Porygon
22,HM05,Flash,Status,70,20,0,Porygon
