,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM07,Horn Drill,Fixed,30,5,0
2,TM08,Body Slam,85,100,15,33
3,TM09,Take Down,90,85,20,0
4,TM10,Double-Edge,100,100,15,0
5,TM15,Hyper Beam,150,90,5,0
6,TM20,Rage,20,100,20,0
7,TM31,Mimic,Status,100,10,0
8,TM32,Double Team,Status,100,15,0
9,TM33,Reflect,Status,100,20,0
10,TM34,Bide,Status,100,10,0
11,TM38,Fire Blast,120,85,5,33
12,TM39,Swift,60,100,20,0
13,TM40,Skull Bash,100,100,15,0
14,TM44,Rest,Status,100,10,0
15,TM50,Substitute,Status,100,10,0
