,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM01,Mega Punch,80,85,20,0
1,TM05,Mega Kick,120,74.6,5,0
2,TM06,Toxic,Status,85,10,0
3,TM07,Horn Drill,Fixed,30,5,0
4,TM08,Body Slam,85,100,15,33
5,TM09,Take Down,90,85,20,0
6,TM10,Double-Edge,100,100,15,0
7,TM11,Bubble Beam,65,100,20,33
8,TM12,Water Gun,40,100,25,0
9,TM13,Ice Beam,95,100,10,10
10,TM14,Blizzard,120,90,5,10
11,TM15,Hyper Beam,150,90,5,0
12,TM16,Pay Day,40,100,20,0
13,TM17,Submission,80,80,25,0
14,TM18,Counter,Fixed,100,20,0
15,TM19,Seismic Toss,Fixed,100,20,0
16,TM20,Rage,20,100,20,0
17,TM24,Thunderbolt,95,100,15,10
18,TM25,Thunder,120,70,10,10
19,TM26,Earthquake,100,100,10,0
20,TM27,Fissure,Fixed,30,5,0
21,TM28,Dig,100,100,10,0
22,TM31,Mimic,Status,100,10,0
23,TM32,Double Team,Status,100,15,0
24,TM34,Bide,Status,100,10,0
25,TM38,Fire Blast,120,85,5,33
26,TM40,Skull Bash,100,100,15,0
27,TM44,Rest,Status,100,10,0
28,TM48,Rock Slide,75,90,10,0
29,TM50,Substitute,Status,100,10,0
30,HM03,Surf,95,100,15,0
31,HM04,Strength,80,100,15,0
