,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM06,Toxic,Status,85,10,0
1,TM07,Horn Drill,Fixed,30,5,0
2,TM08,Body Slam,85,100,15,33
3,TM09,Take Down,90,85,20,0
4,TM10,Double-Edge,100,100,15,0
5,TM20,Rage,20,100,20,0
6,TM24,Thunderbolt,95,100,15,10
7,TM25,Thunder,120,70,10,10
8,TM26,Earthquake,100,100,10,0
9,TM27,Fissure,Fixed,30,5,0
10,TM28,Dig,100,100,10,0
11,TM31,Mimic,Status,100,10,0
12,TM32,Double Team,Status,100,15,0
13,TM34,Bide,Status,100,10,0
14,TM38,Fire Blast,120,85,5,33
15,TM40,Skull Bash,100,100,15,0
16,TM44,Rest,Status,100,10,0
17,TM48,Rock Slide,75,90,10,0
18,TM50,Substitute,Status,100,10,0
19,HM04,Strength,80,100,15,0
