,TM/HM #,Attack Name,Power,Acc.,PP,Effect %
0,TM01,Mega Punch,80,85,20,0
1,TM05,Mega Kick,120,74.6,5,0
2,TM06,Toxic,Status,85,10,0
3,TM08,Body Slam,85,100,15,33
4,TM09,Take Down,90,85,20,0
5,TM10,Double-Edge,100,100,15,0
6,TM11,Bubble Beam,65,100,20,33
7,TM12,Water Gun,40,100,25,0
8,TM13,Ice Beam,95,100,10,10
9,TM14,Blizzard,120,90,5,10
10,TM15,Hyper Beam,150,90,5,0
11,TM16,Pay Day,40,100,20,0
12,TM17,Submission,80,80,25,0
13,TM18,Counter,Fixed,100,20,0
14,TM19,Seismic Toss,Fixed,100,20,0
15,TM20,Rage,20,100,20,0
16,TM26,Earthquake,100,100,10,0
17,TM27,Fissure,Fixed,30,5,0
18,TM28,Dig,100,100,10,0
19,TM29,Psychic,90,100,10,30
20,TM30,Teleport,Status,100,20,0
21,TM31,Mimic,Status,100,10,0
22,TM32,Double Team,Status,100,15,0
23,TM33,Reflect,Status,100,20,0
24,TM34,Bide,Status,100,10,0
25,TM38,Fire Blast,120,85,5,33
26,TM39,Swift,60,100,20,0
27,TM40,Skull Bash,100,100,15,0
28,TM44,Rest,Status,100,10,0
29,TM45,Thunder Wave,Status,100,20,10
30,TM46,Psywave,Fixed,80,15,0
31,TM49,Tri Attack,80,100,10,0
32,TM50,Substitute,Status,100,10,0
33,HM03,Surf,95,100,15,0
34,HM04,Strength,80,100,15,0
35,HM05,Flash,Status,70,20,0
