,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM01,Mega Punch,80,85,20,0,Snorlax
1,TM05,Mega Kick,120,74.6,5,0,Snorlax
2,TM06,Toxic,Status,85,10,0,Snorlax
3,TM08,Body Slam,85,100,15,33,Snorlax
4,TM09,Take Down,90,85,20,0,Snorlax
5,TM10,Double-Edge,100,100,15,0,Snorlax
6,TM11,Bubble Beam,65,100,20,33,Snorlax
7,TM12,Water Gun,40,100,25,0,Snorlax
8,TM13,Ice Beam,95,100,10,10,Snorlax
9,TM14,Blizzard,120,90,5,10,Snorlax
10,TM15,Hyper Beam,150,90,5,0,Snorlax
11,TM16,Pay Day,40,100,20,0,Snorlax
12,TM17,Submission,80,80,25,0,Snorlax
13,TM18,Counter,Fixed,100,20,0,Snorlax
14,TM19,Seismic Toss,Fixed,100,20,0,Snorlax
15,TM20,Rage,20,100,20,0,Snorlax
16,TM22,Solar Beam,120,100,10,0,Snorlax
17,TM24,Thunderbolt,95,100,15,10,Snorlax
18,TM25,Thunder,120,70,10,10,Snorlax
19,TM26,Earthquake,100,100,10,0,Snorlax
20,TM27,Fissure,Fixed,30,5,0,Snorlax
21,TM29,Psychic,90,100,10,30,Snorlax
22,TM31,Mimic,Status,100,10,0,Snorlax
23,TM32,Double Team,Status,100,15,0,Snorlax
24,TM33,Reflect,Status,100,20,0,Snorlax
25,TM34,Bide,Status,100,10,0,Snorlax
26,TM35,Metronome,Status,100,10,0,Snorlax
27,TM36,Self-Destruct,130,100,5,0,Snorlax
28,TM38,Fire Blast,120,85,5,33,Snorlax
29,TM40,Skull Bash,100,100,15,0,Snorlax
30,TM44,Rest,Status,100,10,0,Snorlax
31,TM46,Psywave,Fixed,80,15,0,Snorlax
32,TM48,Rock Slide,75,90,10,0,Snorlax
33,TM50,Substitute,Status,100,10,0,Snorlax
34,HM03,Surf,95,100,15,0,Snorlax
35,HM04,Strength,80,100,15,0,Snorlax
