,TM/HM #,Attack Name,Power,Acc.,PP,Effect %,Name
0,TM02,Razor Wind,80,74.6,10,0,Zapdos
1,TM04,Whirlwind,Status,85,20,0,Zapdos
2,TM06,Toxic,Status,85,10,0,Zapdos
3,TM09,Take Down,90,85,20,0,Zapdos
4,TM10,Double-Edge,100,100,15,0,Zapdos
5,TM15,Hyper Beam,150,90,5,0,Zapdos
6,TM20,Rage,20,100,20,0,Zapdos
7,TM24,Thunderbolt,95,100,15,10,Zapdos
8,TM25,Thunder,120,70,10,10,Zapdos
9,TM31,Mimic,Status,100,10,0,Zapdos
10,TM32,Double Team,Status,100,15,0,Zapdos
11,TM33,Reflect,Status,100,20,0,Zapdos
12,TM34,Bide,Status,100,10,0,Zapdos
13,TM39,Swift,60,100,20,0,Zapdos
14,TM43,Sky Attack,140,90,5,0,Zapdos
15,TM44,Rest,Status,100,10,0,Zapdos
16,TM45,Thunder Wave,Status,100,20,10,Zapdos
17,TM50,Substitute,Status,100,10,0,Zapdos
18,HM02,Fly,70,95,15,0,Zapdos
19,HM05,Flash,Status,70,20,0,Zapdos
